PERMIT_TYPE,PERMIT#,PERMIT_RSN,PROJECT_NAME,LOCATION,EXPIRATION,CONTRACTOR,PHONE#,TOTAL_DAYS
EX,2019-034153 EX,12149271,TGS - SHOALWOOD AVE 4813 - MAINT TO MAIN - ANODES,4813 SHOALWOOD AVE,5/15/19,Texas Gas Service,5124211531,61
EX,2019-034260 EX,12149380,TGS - ABERDEEN DR 4808 - MAINT TO MAIN - ANODES,4808 ABERDEEN DR,5/15/19,Texas Gas Service,5124211531,61
EX,2019-033193 EX,12148104,TGS - HATHAWAY DR 8314 - EMERGENCY REPAIR,8314 HATHAWAY DR,4/4/19,Texas Gas Service,5124211531,31
EX,2019-033198 EX,12148109,TGS - JAMESTOWN DR 8420 - EMERGENCY REPAIR,8420 JAMESTOWN DR,4/4/19,Texas Gas Service,5124211531,31
EX,2019-033185 EX,12148092,TGS - BAYLOR ST 1000 BLK - EMERGENCY REPAIR,1000-1019 BAYLOR ST,4/4/19,Texas Gas Service,5124211531,31
EX,2019-034268 EX,12149388,TGS - LENNOX DR 4611 - MAINT TO MAIN - ANODES,4611 LENNOX DR,5/15/19,Texas Gas Service,5124211531,61
EX,2019-032855 EX,12147654,TGS - BANYON ST 800 BLOCK - MAINTENANCE TO MAIN,800-825 BANYON ST,6/3/19,Texas Gas Service,5124211531,56
EX,2019-032297 EX,12146985,TGS - WERNER AVE 3311 - REPLACE SERVICE,3311 WERNER AVE,5/11/19,Texas Gas Service,5124211531,61
EX,2019-032866 EX,12147665,TGS - JUSTIN LN 1304 - NEW SERVICE,1304 JUSTIN LN,5/13/19,Texas Gas Service,5124211531,61
EX,2019-032864 EX,12147663,TGS - WHITE HORSE TRL 2600 - NEW SERVICE,2600 WHITE HORSE TRL,5/13/19,Texas Gas Service,5124211531,61
EX,2019-032862 EX,12147661,TGS - SANTA CRUZ DR 11400 BLK - REPLACE SERVICE,11400-11405 SANTA CRUZ DR,5/12/19,Texas Gas Service,5124211531,61
EX,2019-032860 EX,12147659,TGS - WOLVERINE ST 7500 BLK - MAINTENANACE TO MAIN,7500-7525 WOLVERINE ST,5/12/19,Texas Gas Service,5124211531,61
EX,2019-033105 EX,12147994,TGS - DALLUM DR 9815 - EMERGENCY REPAIR,9815 DALLUM DR,4/4/19,Texas Gas Service,5124211531,31
EX,2019-033624 EX,12148603,TGS - RUTH AVE 1100 BLK - RELOCATE SERVICE,900-1119 RUTH AVE,5/14/19,Texas Gas Service,5124211531,61
EX,2019-032859 EX,12147658,TGS - PANTHERPAW ST 7500 BLK - MAINTENANCE TO MAIN,7508-7521 PANTHERPAW ST,5/12/19,Texas Gas Service,5124211531,61
EX,2019-033994 EX,12149076,TGS - LAVACA ST 1400 - EMREGENCY REPAIR,1400 LAVACA ST,4/5/19,Texas Gas Service,5124211531,31
EX,2019-032070 EX,12146707,TGS - FRESCO ST N 5002 - TIER 2 LEAK REPAIR,5002 N FRESCO DR,6/4/19,Texas Gas Service,5124211531,92
EX,2019-034280 EX,12149400,TGS - AINSWORTH ST 200 - MAINT TO MAIN - ANODES,200 AINSWORTH ST,5/15/19,Texas Gas Service,5124211531,61
EX,2019-034274 EX,12149394,TGS - SALEM WALK DR 5413 - MAINT TO MAIN - ANODES,5413 SALEM WALK DR,5/15/19,Texas Gas Service,5124211531,61
EX,2019-032858 EX,12147657,TGS - CANNONEER LN 900 - MAINTENANCE TO MAIN,900 CANNONEER LN,5/12/19,Texas Gas Service,5124211531,61
EX,2019-032073 EX,12146711,TGS - HEFLIN LN 5104 - RETIRE LEAK REPAIR,5104 HEFLIN LN,5/6/19,Texas Gas Service,5124211531,61
EX,2019-034132 EX,12149241,TGS - HEARTWOOD DR 322 -326 - MAINT TO MAIN - ANODES,313-504 HEARTWOOD DR,5/15/19,Texas Gas Service,5124211531,61
EX,2019-034115 EX,12149224,TGS  -¿¿ LILY TERRACE 1200 - MAINT TO MAIN - ANODES,1200 LILY TER,5/15/19,Texas Gas Service,5124211531,61
EX,2019-034419 EX,12149568,TGS - REAGAN TER 1305 - NEW SERVICE,1305 REAGAN TER,4/21/19,Texas Gas Service,5124211531,31
EX,2019-031945 EX,12146572,TGS - PARKSIDE LN 1917 - TIER 2 LEAK REPAIR,1917 PARKSIDE LN,4/4/19,Texas Gas Service,5124211531,31
EX,2019-032104 EX,12146742,TGS - KNOLLWOOD DR 3906 - REPLACE,3906 KNOLLWOOD DR,5/11/19,Texas Gas Service,5124211531,61
EX,2019-032102 EX,12146740,TGS - 31ST HALF ST W 609 - RELOCATE SERVICE,609 W 31ST HALF ST,5/7/19,Texas Gas Service,5124211531,61
EX,2019-032098 EX,12146736,TGS - TEXAS SUN DR 8806 - REPLACE SERVICE ,8806 TEXAS SUN DR,5/7/19,Texas Gas Service,5124211531,61
EX,2019-032095 EX,12146733,TGS - MORROW ST 1905 - RETIRE SERVICE,1905 MORROW ST,5/6/19,Texas Gas Service,5124211531,61
EX,2019-032000 EX,12146627,TGS - MARILYN DR 5715 - TIER 2 LEAK REPAIR,5715 MARILYN DR,4/4/19,Texas Gas Service,5124211531,31
EX,2019-033748 EX,12148754,TGS - BRANCH AVE 1100 BLK - RELOCATE SERVICE,1100-1159 BRANCH ST,5/25/19,Texas Gas Service,5124211531,61
EX,2019-033792 EX,12148814,TGS - RIDGEVIEW ST 2312 - NEW SERVICE,2312 RIDGEVIEW ST,5/22/19,Texas Gas Service,5124211531,61
EX,2019-032905 EX,12147707,TGS - TILLERY ST 603 - RETIRE SERVICE,603 TILLERY ST,5/10/19,Texas Gas Service,5124211531,61
EX,2019-032906 EX,12147708,TGS - WERNER HILL DR 1400 - RETIRE SERVICE,1400 WERNER HILL DR,5/10/19,Texas Gas Service,5124211531,61
EX,2019-032902 EX,12147704,TGS - MEDICAL PKWY 3904 - RETIRE SERVICE,3904 MEDICAL PKWY,5/10/19,Texas Gas Service,5124211531,61
EX,2019-032900 EX,12147702,TGS - STARDUST DR 3300 - RETIRE SERVICE,3300 STARDUST DR,5/10/19,Texas Gas Service,5124211531,61
EX,2019-032898 EX,12147700,TGS - BAUERLE AVE 1700 - NEW SERVICE,1700 BAUERLE AVE,5/20/19,Texas Gas Service,5124211531,61
EX,2019-033766 EX,12148772,TGS - TERRIAN LN 2900 BLK - NEW SERVICE,2900-2925 TERRAIN LN,5/14/19,Texas Gas Service,5124211531,61
EX,2019-032857 EX,12147656,TGS - MOUNTIANEER LN 800 BLK - MAINTENANCE TO MAIN,800-810 MOUNTAINEER LN,5/12/19,Texas Gas Service,5124211531,61
EX,2019-034603 EX,12149781,TGS - BALCONES DR 4503 - REPLACE SERVICE,4503 BALCONES DR,5/18/19,Texas Gas Service,5124211531,61
EX,2019-034136 EX,12149245,TGS - WENTWORTH DR 6710 - NEW SERVICE,6710 WENTWORTH DR,5/18/19,Texas Gas Service,5124211531,61
EX,2019-033922 EX,12148992,TGS - VALEDEZ ST 702 - EMERGENCY REPAIR,700-816 VALDEZ ST,4/5/19,Texas Gas Service,5124211531,31
EX,2019-032894 EX,12147696,TGS - SHIVA KAMINI WAY 6708 - NEW SERVICE,6808 SHIVA KAMINI WAY,5/10/19,Texas Gas Service,5124211531,61
EX,2019-032895 EX,12147697,TGS - JOHN NANCE GARNER CIR 300 - NEW SERVICE,300 JOHN NANCE GARNER CIR,5/10/19,Texas Gas Service,5124211531,61
EX,2019-032893 EX,12147695,TGS - SHIVA KAMINI WAY 6705 - NEW SERVICE,6705 SHIVA KAMINI WAY,5/10/19,Texas Gas Service,5124211531,61
EX,2019-032891 EX,12147693,TGS - SIMOND AVE 2200 - NEW SERVICE,2200 SIMOND AVE,5/11/19,Texas Gas Service,5124211531,61
EX,2019-032892 EX,12147694,TGS - MARCUS PL 1404 - NEW SERVICE,1404 MARCUS PL,5/19/19,Texas Gas Service,5124211531,61
EX,2019-032890 EX,12147692,TGS - SHOALWOOD AVE 5800 - NEW SERVICE,5800 SHOALWOOD AVE,5/11/19,Texas Gas Service,5124211531,61
EX,2019-032889 EX,12147691,TGS - S L DAVIS AVE 2205 - NEW SERVICE,2205 S L DAVIS AVE,5/11/19,Texas Gas Service,5124211531,61
EX,2019-032888 EX,12147690,TGS - TORTUGA PL 4904 - NEW SERVICE,4904 TORTUGA PL,5/11/19,Texas Gas Service,5124211531,61
EX,2019-032886 EX,12147688,TGS - SUNNY LN 3205 - NEW SERVICE,3205 SUNNY LN,5/13/19,Texas Gas Service,5124211531,61
EX,2019-032884 EX,12147686,TGS - TWILIGHT SHADOW DR 7317 - NEW SERVICE,7317 TWILIGHT SHADOW DR,5/13/19,Texas Gas Service,5124211531,61
EX,2019-032883 EX,12147685,TGS - PROVIDENCE AVE 7301 - NEW SERVICE,7301 PROVIDENCE AVE,5/13/19,Texas Gas Service,5124211531,61
EX,2019-032881 EX,12147683,TGS - PANDORA ST 1187 - NEW SERVICE,1187 PANDORA ST,5/13/19,Texas Gas Service,5124211531,61
EX,2019-032882 EX,12147684,TGS - WEST RIM DR 7200 - NEW SERVICE,7200 WEST RIM DR,5/13/19,Texas Gas Service,5124211531,61
EX,2019-032051 EX,12146685,TGS - SUNNY LN 3208 - TIER 2 LEAK REPAIR,3208 SUNNY LN,4/4/19,Texas Gas Service,5124211531,31
EX,2019-032094 EX,12146732,TGS - TAULBEE LN 1211 - RETIRE SERVICE,1211 TAULBEE LN,5/6/19,Texas Gas Service,5124211531,61
EX,2019-032093 EX,12146731,TGS - JINX AVE 4401 - RETIRE SERVICE,4400-4437 JINX AVE,5/6/19,Texas Gas Service,5124211531,61
EX,2019-032092 EX,12146730,TGS - KAREN AVE 1411 - RETIRE SERVICE,1411 KAREN AVE,5/7/19,Texas Gas Service,5124211531,61
EX,2019-032089 EX,12146727,TGS - 55TH HALF ST W 409 - RETIRE SERVICE,409 W 55TH HALF ST,5/6/19,Texas Gas Service,5124211531,61
EX,2019-032088 EX,12146726,TGS - BULL CREEK RD 5706 - RETIRE SERVICE,5706 BULL CREEK RD,5/6/19,Texas Gas Service,5124211531,61
EX,2019-031845 EX,12146466,TGS - CAMBRIDGE CT 3407 - TIER 2 LEAK REPAIR,3407 CAMBRIDGE CT,4/4/19,Texas Gas Service,5124211531,31
EX,2019-031829 EX,12146450,TGS - DRESDEN CV 2907 - TIER 2 LEAK REPAIR,2907 DRESDEN CV,4/4/19,Texas Gas Service,5124211531,31
EX,2019-032014 EX,12146641,TGS - MARILYN DR 5709 - TIER 2 LEAK REPAIR,5709 MARILYN DR,4/4/19,Texas Gas Service,5124211531,31
EX,2019-031874 EX,12146496,TGS - CLAREWOOD CIR 8606 - TIER 2 LEAK REPAIR,8600-8613 CLAREWOOD CIR,4/4/19,Texas Gas Service,5124211531,31
EX,2019-027975 EX,12141913,TGS - SANTA ROSA ST 2201 - NEW SERVICE,2201 SANTA ROSA ST,4/25/19,Texas Gas Service,5124211531,59
EX,2019-027972 EX,12141910,TGS - MONTOPOLIS DR 204 - NEW SERVICE,204 MONTOPOLIS DR,4/27/19,Texas Gas Service,5124211531,59
EX,2019-027970 EX,12141908,TGS - MONTOPOLIS DR 202 - NEW SERVICE,202 MONTOPOLIS DR,4/27/19,Texas Gas Service,5124211531,59
EX,2019-028695 EX,12142694,TGS - LAFAYETTE AVE 2903 - REPLACE SERVICE,2903 LAFAYETTE AVE,4/25/19,Texas Gas Service,5124211531,59
EX,2019-029004 EX,12143139,TGS - CLESRVIEW DR 3306 - NEW SERVICE,3306 CLEARVIEW DR,5/1/19,Texas Gas Service,5124211531,61
EX,2019-026243 EX,12139845,TGS - MOUNT VERNON DR 4400 BLK - NEW SERVICE,4400-4406 MOUNT VERNON DR,4/26/19,Texas Gas Service,5124211531,59
EX,2019-027816 EX,12141680,TGS - GILLESPIE PL 1131 - RETIRE SERVICE,1131 GILLESPIE PL,4/21/19,Texas Gas Service,5124211531,31
EX,2019-027936 EX,12141848,TGS - BONHAM TERRACE 1015 - NEW SERVICE,1015 BONHAM TER,4/21/19,Texas Gas Service,5124211531,31
EX,2019-027340 EX,12141162,TGS - 16TH ST W 100-299 -TFC Capitol Complex project - REPLACE GAS MAIN,200-217 W 16TH ST,4/14/19,Texas Gas Service,5124211531,41
EX,2019-026477 EX,12140123,TGS - MANOR RD 6400 blk - NEW SERVICE,6413 MANOR RD,5/8/19,Texas Gas Service,5124211531,61
EX,2019-026470 EX,12140107,TGS - SUNSHINE DR 5606 - NEW SERVICE,5605 SUNSHINE DR,4/28/19,Texas Gas Service,5124211531,59
EX,2019-028688 EX,12142687,TGS - LAFAYETTE AVE 2805 - REPLACE SERVICE,2805 LAFAYETTE AVE,4/25/19,Texas Gas Service,5124211531,59
EX,2019-028680 EX,12142679,TGS - ENFIELD RD 3000 - RETIRE SERVICE,3000 ENFIELD RD,4/28/19,Texas Gas Service,5124211531,59
EX,2019-026460 EX,12140090,TGS - WOOLDRIDGE AVE 2400-2599 BLKS - CIP - RELOCATE GAS MAIN ,2500-2520 WOOLDRIDGE DR,4/25/19,Texas Gas Service,5124211531,59
EX,2019-026219 EX,12139821,TGS - GOVALLE AVE 3710 - NEW SERVICE,3710 GOVALLE AVE,4/26/19,Texas Gas Service,5124211531,59
EX,2019-027989 EX,12141927,TGS - PIEDMONT AVE 1803 - NEW SERVICE,1803 PIEDMONT AVE,4/25/19,Texas Gas Service,5124211531,59
EX,2019-027988 EX,12141926,TGS - RUNDELL PL 2207 - NEW SERVICE,2207 RUNDELL PL,4/20/19,Texas Gas Service,5124211531,31
EX,2019-027987 EX,12141925,TGS - E 2ND ST 1208 - NEW SERVICE,1208 E 2ND ST,4/20/19,Texas Gas Service,5124211531,31
EX,2019-028976 EX,12143111,TGS - BANISTER LN 4425 - RETIRE SERVICE,4425 BANISTER LN,4/28/19,Texas Gas Service,5124211531,59
EX,2019-026201 EX,12139803,TGS - TIMBERWOOD CIR 3407 - NEW SERVICE,3407 TIMBERWOOD CIR,4/26/19,Texas Gas Service,5124211531,59
EX,2019-028001 EX,12141940,TGS - CRIPPLE CREEK DR 1403 - RESTORATION SW,1403 CRIPPLE CREEK DR,4/1/19,Texas Gas Service,5124211531,31
EX,2019-027998 EX,12141937,TGS - OAK HOLLOW DR 9811 - RESTORATION ,9811 OAK HOLLOW DR,4/1/19,Texas Gas Service,5124211531,31
EX,2019-028666 EX,12142662,TGS - HIDALGO ST 3500 BLK - NEW SERVICE,3500-3512 HIDALGO ST,5/4/19,Texas Gas Service,5124211531,61
EX,2019-027982 EX,12141920,TGS - E 16TH ST 2921 - NEW SERVICE,2921 E 16TH ST,4/27/19,Texas Gas Service,5124211531,59
EX,2019-027927 EX,12141838,TGS - 22ND ST W 500 BLK  - RETIRE SERVICE,500-515 W 22ND ST,4/27/19,Texas Gas Service,5124211531,59
EX,2019-029458 EX,12143678,TGS - PROCK LN 4709 -  NEW SERVICE,4709 PROCK LN,5/1/19,Texas Gas Service,5124211531,61
EX,2019-029444 EX,12143664,TGS - BOWMAN AVE 3313 - NEW SERVICE,3313 BOWMAN AVE,5/1/19,Texas Gas Service,5124211531,61
EX,2019-025180 EX,12138661,TGS - 16TH ST E 1905 - NEW SERVICE,1905 E 16TH ST,4/22/19,Texas Gas Service,5124211531,59
EX,2019-025648 EX,12139191,TGS - EXPOSITION BLVD 1901 - NEW SERVICE,1901 EXPOSITION BLVD,4/22/19,Texas Gas Service,5124211531,56
EX,2019-025642 EX,12139185,TGS - ANN ARBOR AVE 1804 - NEW SERVICE,1804 ANN ARBOR AVE,4/22/19,Texas Gas Service,5124211531,56
EX,2019-025639 EX,12139182,TGS - ELEANOR ST 1225 - NEW SERVICE,1225 ELEANOR ST,4/25/19,Texas Gas Service,5124211531,59
EX,2019-025638 EX,12139181,TGS - ELEANOR ST 1220 - NEW SERVICE,1220 ELEANOR ST,4/25/19,Texas Gas Service,5124211531,59
EX,2019-025636 EX,12139179,TGS - WEBBERVILLE RD 1157 - NEW SERVICE,1157 WEBBERVILLE RD,4/22/19,Texas Gas Service,5124211531,56
EX,2019-025634 EX,12139177,TGS - CHICON ST 1126 - NEW SERVICE,1126 CHICON ST,4/20/19,Texas Gas Service,5124211531,31
EX,2019-024467 EX,12137841,TGS - ROOSEVELT AVE 5310 - RETIRE SERVICE,5310 ROOSEVELT AVE,4/21/19,Texas Gas Service,5124211531,59
EX,2019-024456 EX,12137823,TGS - 11TH ST W 2111 - RETIRE SERVICE,2111 W 11TH ST,4/21/19,Texas Gas Service,5124211531,59
EX,2019-025623 EX,12139166,TGS - LIGHTSEY RD 517 - REPLACE SERVICE,517 LIGHTSEY RD,4/18/19,Texas Gas Service,5124211531,58
EX,2019-025679 EX,12139222,TGS - SCENIC DR 2806 - NEW SERVICE,2806 SCENIC DR,4/26/19,Texas Gas Service,5124211531,59
EX,2019-023989 EX,12137277,TGS - E RIVERSIDE DR 6905 - RETIRE SERVICE,6905 E RIVERSIDE DR,4/28/19,Texas Gas Service,5124211531,59
EX,2019-025669 EX,12139212,TGS - 11TH ST E 2305 - NEW SERVICE,2305 E 11TH ST,4/26/19,Texas Gas Service,5124211531,59
EX,2019-025685 EX,12139228,TGS - WILLOWBRIDGE CIR 2900 BLK - NEW SERVICE,2900-2911 WILLOWBRIDGE CIR,4/26/19,Texas Gas Service,5124211531,59
EX,2019-025655 EX,12139198,TGS - LYNN ST 60 BLK - NEW SERVICE,60-69 LYNN ST,4/26/19,Texas Gas Service,5124211531,59
EX,2019-025231 EX,12138729,TGS - RICHARDINE AVE 1109 - NEW SERVICE,1109 RICHARDINE AVE,4/22/19,Texas Gas Service,5124211531,59
EX,2019-025163 EX,12138644,TGS - HASKELL ST 1204 - NEW SERVICE,1204 HASKELL ST,4/8/19,Texas Gas Service,5124211531,42
EX,2019-025114 EX,12138587,TGS - 2ND ST E 1105 - NEW SERVICE,1105 E 2ND ST,4/8/19,Texas Gas Service,5124211531,42
EX,2019-025575 EX,12139118,TGS - WALTON LN 1110 - NEW SERVICE,1110 WALTON LN,4/22/19,Texas Gas Service,5124211531,59
EX,2019-025573 EX,12139116,TGS - WALTON LN 1106 - NEW SERVICE,1106 WALTON LN,4/22/19,Texas Gas Service,5124211531,66
EX,2019-022356 EX,12135305,TGS - HIGHLAND TERR W 3203 - RETIRE SERVICE,3203 W HIGHLAND TER,4/20/19,Texas Gas Service,5124211531,59
EX,2019-024397 EX,12137735,TGS - POSSUM TROT ST 1007 - NEW SERVICE,1007 POSSUM TROT,4/18/19,Texas Gas Service,5124211531,59
EX,2019-024067 EX,12137384,TGS - PROVIDENCE AVE 7311 - NEW SERVICE,7311 PROVIDENCE AVE,4/20/19,Texas Gas Service,5124211531,59
EX,2019-024058 EX,12137375,TGS - CROSBY CIR 6905 - NEW SERVICE,6905 CROSBY CIR,4/20/19,Texas Gas Service,5124211531,59
EX,2019-024041 EX,12137356,TGS - FRIENDSWOOD DR 6108 - NEW SERVICE,6108 FRIENDSWOOD DR,4/20/19,Texas Gas Service,5124211531,59
EX,2019-025215 EX,12138710,TGS - POST ROAD DR 410 - NEW SERVICE,410 POST ROAD DR,4/22/19,Texas Gas Service,5124211531,59
EX,2019-025188 EX,12138673,TGS - PIN OAK CT 3003 - NEW SERVICE,3003 PIN OAK CT,4/22/19,Texas Gas Service,5124211531,59
EX,2019-025581 EX,12139124,TGS - 56TH ST E 300 BLK - REPLACE SERVICE,300-315 E 56TH ST,4/25/19,Texas Gas Service,5124211531,59
EX,2019-024100 EX,12137419,TGS - LEGENDARY DR 13201 - MAINTENANCE TO MAIN ,13201 LEGENDARY DR,4/18/19,Texas Gas Service,5124211531,59
EX,2019-025095 EX,12138564,TGS - SPURLOCK DR 7106 - RETIRE SERVICE,7106 SPURLOCK DR,4/21/19,Texas Gas Service,5124211531,59
EX,2019-024478 EX,12137852,TGS - MONTANA ST 6817 -  RETIRE SERVICE,6817 MONTANA ST,4/21/19,Texas Gas Service,5124211531,59
EX,2019-024459 EX,12137833,TGS - 4TH ST E 2708 - RETIRE SERVICE,2708 E 4TH ST,4/21/19,Texas Gas Service,5124211531,59
EX,2019-024443 EX,12137784,TGS - ELMIRA RD 1611 - RETIRE SERVICE,1611 ELMIRA RD,4/20/19,Texas Gas Service,5124211531,59
EX,2019-025222 EX,12138720,TGS - O DELL ST W 411 - NEW SERVICE,411 W O DELL ST,4/22/19,Texas Gas Service,5124211531,59
EX,2019-019492 EX,12131908, TGS - BRENTWOOD ST 1210 - RETIRE SERVICE,1210 BRENTWOOD ST,4/19/19,Texas Gas Service,5124211531,59
EX,2019-019002 EX,12131368,TGS - WOODROW ST 3400 BLK - MAINTENANCE TO MAIN RELIEF STACK,3400-3417 WOODROW ST,4/15/19,Texas Gas Service,5124211531,59
EX,2019-020911 EX,12133566,TGS - MIRANDA DR 6813 - NEW SERVICE,6813 MIRANDA DR,4/19/19,Texas Gas Service,5124211531,59
EX,2019-020894 EX,12133549,TGS - NORTH DR 9100 BLK - REPLACE SERVICE,9100-9117 NORTH DR,4/19/19,Texas Gas Service,5124211531,59
EX,2019-019476 EX,12131892,TGS - PEARL ST 2401 - TIER 2 LEAK REPAIR,2401 PEARL ST,4/9/19,Texas Gas Service,5124211531,59
EX,2019-019484 EX,12131900,TGS - ROXMOOR DR 2600 BLK - TIER 2 LEAK REPAIR,2500-2614 ROXMOOR DR,4/9/19,Texas Gas Service,5124211531,59
EX,2019-019508 EX,12131924,TGS -CLAWSON RD 4709 - NEW SERVICE,4709 CLAWSON RD,4/16/19,Texas Gas Service,5124211531,59
EX,2019-020175 EX,12132679,TGS - RICHMOND AVE 4803 - NEW SERVICE,4803 RICHMOND AVE,4/19/19,Texas Gas Service,5124211531,59
EX,2019-019373 EX,12131768,TGS - ELLISE AVE 2603 - RETIRE SERVICE,2603 ELLISE AVE,4/9/19,Texas Gas Service,5124211531,59
EX,2019-019387 EX,12131794,TGS - PINECREST DR 3005 - RETIRE SERVICE,3005 PINECREST DR,4/15/19,Texas Gas Service,5124211531,59
EX,2019-020457 EX,12133055,TGS - HIGGINS ST 2955 - REPLACE SERVICE,2955 HIGGINS ST,4/7/19,Texas Gas Service,5124211531,59
EX,2019-018164 EX,12130350,TGS - E 22ND ST 2200 BLK - NEW SERVICE,2200-2215 E 22ND ST,4/15/19,Texas Gas Service,5124211531,59
EX,2019-018873 EX,12131208,TGS - W 29TH ST 1000 BLK - MAINTENANCE TO MAIN RELIEF STACK,1000-1097 W 29TH ST,4/15/19,Texas Gas Service,5124211531,59
EX,2019-019491 EX,12131907,TGS - HIGHLAND CT 5003 - TIER 2 LEAK REPAIR,5003 HIGHLAND CT,4/9/19,Texas Gas Service,5124211531,59
EX,2019-019486 EX,12131902,TGS - PALO DURO RD 1512 - TIER 2 LEAK REPAIR,1512 PALO DURO RD,4/9/19,Texas Gas Service,5124211531,59
EX,2019-019495 EX,12131911,TGS - NORTHFIELD RD 3905 - RETIRE SERVICE,3905 NORTHFIELD RD,4/16/19,Texas Gas Service,5124211531,59
EX,2019-021912 EX,12134738,TGS - BLUFF BEND DR 11110 - RETIRE SERVICE,11110 BLUFF BEND DR,4/20/19,Texas Gas Service,5124211531,59
EX,2019-020971 EX,12133632,TGS - STAMFORD LN 1801 - TIER 2 LEAK REPAIR,1801 STAMFORD LN,4/11/19,Texas Gas Service,5124211531,59
EX,2019-020026 EX,12132519,TGS - LINDEN ST 1018 - NEW SERVICE,1018 LINDEN ST,4/7/19,Texas Gas Service,5124211531,59
EX,2019-019396 EX,12131803,TGS - SHOAL CREEK BLVD 4501 - RETIRE SERVICE,4501 SHOAL CREEK BLVD,4/16/19,Texas Gas Service,5124211531,59
EX,2019-018983 EX,12131349,TGS - NUECES ST 600 BLK - MAINTENANCE TO MAIN RELIEF STACK,600-620 NUECES ST,4/21/19,Texas Gas Service,5124211531,46
EX,2019-018962 EX,12131320,TGS - 11TH ST E 1700 BLK - MAINTENANCE TO MAIN RELIEF STACK,1700-1729 W 11TH ST,4/21/19,Texas Gas Service,5124211531,46
EX,2019-018921 EX,12131263,TGS - DUVAL ST 4400 BLK - MAINTENANCE TO MAIN RELIEF STACK,4300-4434 DUVAL ST,4/15/19,Texas Gas Service,5124211531,59
EX,2019-020834 EX,12133474,TGS - ALHAMBRA DR 11112 - REPLACE SERVICE,11112 ALHAMBRA DR,4/8/19,Texas Gas Service,5124211531,59
EX,2019-019502 EX,12131918,TGS - 24TH ST W 620 - RELOCATE GAS MAIN,620 W 24TH ST,4/16/19,Texas Gas Service,5124211531,59
EX,2019-019500 EX,12131916,TGS - PEQUENO ST 1913 - RETIRE SERVICE,1913 PEQUENO ST,4/16/19,Texas Gas Service,5124211531,59
EX,2019-020939 EX,12133597,TGS - DEL CURTO 2800 - MAIN EXTENSION / NEW SERVICE,2800 DEL CURTO RD,4/20/19,Texas Gas Service,5124211531,59
EX,2019-019423 EX,12131836,TGS - NORTHLEDGE DR 7005 - RETIRE SERVICE,7005 NORTHLEDGE DR,4/19/19,Texas Gas Service,5124211531,59
EX,2019-014745 EX,12126281,TGS - DENFIELD ST 1125 - NEW SERVICE,1125 DENFIELD ST,4/9/19,Texas Gas Service,5124211531,59
EX,2019-017348 EX,12129371,TGS - STOKES DR 3007 - NEW SERVICE,3007 STOKES DR,4/15/19,Texas Gas Service,5124211531,59
EX,2019-017345 EX,12129368,TGS - SANCHEZ ST 1413 - NEW SERVICE,1413 SANCHEZ ST,4/10/19,Texas Gas Service,5124211531,56
EX,2019-017341 EX,12129364,TGS - O DELL ST W 105 - RETIRE SERVICE,105 W O DELL ST,4/7/19,Texas Gas Service,5124211531,59
EX,2019-015591 EX,12127315,TGS - HARRIS AVE 500 BLK ALLEY - MAINT TO MAIN ANODES,509 CAROLYN AVE,4/5/19,Texas Gas Service,5124211531,57
EX,2019-015588 EX,12127309,TGS - HARRIS AVE 600 BLCK ALLEY - MAINT TO MAIN ANODES,603 CAROLYN AVE,4/5/19,Texas Gas Service,5124211531,57
EX,2019-017336 EX,12129359,TGS - 37TH ST E 1504 - NEW SERVICE,1504 E 37TH ST,4/10/19,Texas Gas Service,5124211531,56
EX,2019-017333 EX,12129356,TGS - POST ROAD DR 505 - NEW SERVICE,505 POST ROAD DR,4/10/19,Texas Gas Service,5124211531,56
EX,2019-017329 EX,12129352,TGS - E MARTIN LUTHER KING JR BLVD E 3011 - NEW SERVICE,3011 E MARTIN LUTHER KING JR BLVD,4/10/19,Texas Gas Service,5124211531,56
EX,2019-017177 EX,12129157,TGS - 5TH ST W 800-900 BLOCKS - REPLACE GAS MAIN/SERVICES,900-925 W 5TH ST,4/21/19,Texas Gas Service,5124211531,12
EX,2019-013716 EX,12125116,TGS - S 2ND ST 2606 - MAINT TO MAIN ANODES,2606 S 2ND ST,4/8/19,Texas Gas Service,5124211531,59
EX,2019-015155 EX,12126739,TGS - WONSLEY DR 504 - RETIRE SERVICE,504 E WONSLEY DR,4/10/19,Texas Gas Service,5124211531,56
EX,2019-015152 EX,12126736,TGS - WONSLEY DR 500 - RETIRE SERVICE,500 E WONSLEY DR,4/10/19,Texas Gas Service,5124211531,56
EX,2019-015151 EX,12126735,TGS - WONSLEY DR 410 - RETIRE SERVICE,410 E WONSLEY DR,4/10/19,Texas Gas Service,5124211531,56
EX,2019-014719 EX,12126255,TGS- CREIGHTON LN 6903 - RETIRE SERVICE,6903 CREIGHTON LN,4/9/19,Texas Gas Service,5124211531,59
EX,2019-014936 EX,12126483,TGS- CUMBERLAND RD 604 - NEW SERVICE,604 CUMBERLAND RD,4/9/19,Texas Gas Service,5124211531,59
EX,2019-014852 EX,12126398,TGS - E 6TH ST 2512 - NEW SERVICE,2512 E 6TH ST,5/21/19,Texas Gas Service,5124211531,61
EX,2019-014613 EX,12126126,TGS - PARK DR S 512 - RETIRE SERVICE,512 SOUTH PARK DR,4/11/19,Texas Gas Service,5124211531,59
